ID,Name,TeamName,MatchesPlayed,RunsScored
1,AJ Finch,Australia,10,507
2,AT Carey,Australia,10,375
3,BA Stokes,England,11,465
4,C de Grandhomme,New Zealand,10,190
5,DA Warner,Australia,10,647
6,F du Plessis,South Africa,9,387
7,HE van der Dussen,South Africa,9,311
8,HM Amla,South Africa,7,203
9,JDS Neesham,New Zealand,10,232
10,JE Root,England,11,556
11,JJ Roy,England,8,443
12,JM Bairstow,England,11,532
13,KL Rahul,India,9,361
14,KS Williamson,New Zealand,10,578
15,LRPL Taylor,New Zealand,10,350
16,MS Dhoni,India,9,273
17,Q de Kock,South Africa,9,305
18,RG Sharma,India,9,648
19,SPD Smith,Australia,10,379
20,V Kohli,India,9,443